table,backend,rate_hz,publish_ns,read_ns,lat_p50_ns,lat_p99_ns,retries_per_sec,achieved_hz,read_p99_ns,torn
cost,mutex,,16.6,15.9,,,,,,
cost,bitmask,,8.8,1.5,,,,,,
cost,seqlock,,2.3,2.1,,,,,,
app,mutex,1000,,,639500,2754000,0.00,970.7,,
app,mutex,10000,,,343200,2041400,0.00,3096.3,,
app,bitmask,1000,,,,,0.00,968.1,,
app,bitmask,10000,,,,,0.00,3364.2,,
app,seqlock,1000,,,529100,3355500,0.00,967.9,,
app,seqlock,10000,,,333200,5106200,1266.21,3068.3,,
sweep,mutex,1000,,,,,0.0,1000.0,100,0
sweep,mutex,10000,,,,,0.0,10000.0,200,0
sweep,mutex,100000,,,,,0.0,100000.0,300,0
sweep,mutex,1000000,,,,,0.0,1000284.1,1300,0
sweep,mutex,0,,,,,0.0,5030673.3,2600,0
sweep,bitmask,1000,,,,,0.0,1000.0,200,0
sweep,bitmask,10000,,,,,0.0,9999.9,200,0
sweep,bitmask,100000,,,,,0.0,100000.0,200,0
sweep,bitmask,1000000,,,,,0.0,1000000.0,200,0
sweep,bitmask,0,,,,,0.0,7284658.8,200,0
sweep,seqlock,1000,,,,,89.5,1000.0,100,0
sweep,seqlock,10000,,,,,765.0,10000.0,100,0
sweep,seqlock,100000,,,,,8481.0,100000.0,100,0
sweep,seqlock,1000000,,,,,54019.5,999999.8,200,0
sweep,seqlock,0,,,,,3239696.2,15698385.4,600,0
