strategy,rate_hz,n,p50_ns,p95_ns,p99_ns,max_ns,stddev_ns,missed,cpu_pct
sleep,60,9500,16666666,16666666,17290822,18226520,99885.7,252,3.18
sleep,144,9500,7152656,9522056,9791656,11047556,1126342.2,4750,6.34
sleep,240,9500,8286634,12313234,12561634,14885134,3885799.7,4750,6.19
timer,60,9500,16666666,16666666,16666666,16666666,0.0,0,3.29
timer,144,9500,6944444,6944444,6944444,6944444,0.0,0,6.78
timer,240,9500,4166666,4166666,4166666,4166666,0.0,0,9.14
timer_spin,60,9500,16666666,16666666,16666666,214352318,2370962.4,3,7.77
timer_spin,144,9500,6944444,6944444,6944444,6944444,0.0,0,11.96
timer_spin,240,9500,4166666,4166666,4166666,4166666,0.0,0,16.14
spin,60,9500,16666666,16666666,16666666,16666666,0.0,0,99.20
spin,144,9500,6944444,6944444,6944444,6944444,0.0,0,99.39
spin,240,9500,4166666,4166666,4166666,4166666,0.0,0,99.73
uncapped,0,9500,641300,908400,1292400,2186800,133843.6,0,93.99
