table,backend,rate_hz,publish_ns,read_ns,lat_p50_ns,lat_p99_ns,retries_per_sec,achieved_hz,read_p99_ns,torn
cost,mutex,,8.1,8.4,,,,,,
cost,bitmask,,3.0,2.2,,,,,,
cost,seqlock,,7.2,2.5,,,,,,
sweep,mutex,1000,,,,,0.0,1000.0,41,0
sweep,mutex,10000,,,,,0.0,10000.0,41,0
sweep,mutex,100000,,,,,0.0,100000.0,41,0
sweep,mutex,1000000,,,,,0.0,999999.9,791,0
sweep,mutex,0,,,,,0.0,12451008.1,1372,0
sweep,bitmask,1000,,,,,0.0,1000.0,31,0
sweep,bitmask,10000,,,,,0.0,10000.0,40,0
sweep,bitmask,100000,,,,,0.0,100000.0,31,0
sweep,bitmask,1000000,,,,,0.0,999999.9,60,0
sweep,bitmask,0,,,,,0.0,23045850.3,71,0
sweep,seqlock,1000,,,,,642.5,1000.0,31,0
sweep,seqlock,10000,,,,,7505.5,10000.0,31,0
sweep,seqlock,100000,,,,,72713.5,100000.0,31,0
sweep,seqlock,1000000,,,,,804951.0,999999.9,161,0
sweep,seqlock,0,,,,,43834360.0,12549040.2,79619,0
