strategy,rate_hz,n,p50_ns,p95_ns,p99_ns,max_ns,stddev_ns,missed,cpu_pct
sleep,60,500,16666666,16666666,16666666,16666666,0.0,0,2.43
sleep,144,500,6944444,6944444,6944444,6944444,0.0,0,5.38
sleep,240,500,4166666,4166666,4166666,4166666,0.0,0,8.59
timer,60,500,16666666,16666666,16666666,16666666,0.0,0,2.44
timer,144,500,6944444,6944444,6944444,6944444,0.0,0,5.42
timer,240,500,4166666,4166666,4166666,4166666,0.0,0,8.71
timer_spin,60,500,16666666,16666666,16666666,16666666,0.0,0,2.46
timer_spin,144,500,6944444,6944444,6944444,6944444,0.0,0,5.84
timer_spin,240,500,4166666,4166666,4166666,4166666,0.0,0,9.23
spin,60,500,16666666,16666666,16666666,16666666,0.0,0,89.33
spin,144,500,6944444,6944444,6944444,6944444,0.0,0,78.69
spin,240,500,4166666,4166666,4166666,4166666,0.0,0,65.48
uncapped,0,500,1630460,2012208,2125785,2474542,160158.8,0,19.32
