table,backend,rate_hz,publish_ns,read_ns,lat_p50_ns,lat_p99_ns,retries_per_sec,achieved_hz,read_p99_ns,torn
cost,mutex,,20.4,20.1,,,,,,
cost,bitmask,,11.8,1.3,,,,,,
cost,seqlock,,6.7,1.9,,,,,,
sweep,mutex,1000,,,,,0.0,1000.0,100,0
sweep,mutex,10000,,,,,0.0,10000.0,100,0
sweep,mutex,100000,,,,,0.0,100000.0,100,0
sweep,mutex,1000000,,,,,0.0,967500.2,400,0
sweep,mutex,0,,,,,0.0,19225194.4,600,0
sweep,bitmask,1000,,,,,0.0,1000.0,100,0
sweep,bitmask,10000,,,,,0.0,10000.0,100,0
sweep,bitmask,100000,,,,,0.0,100000.0,100,0
sweep,bitmask,1000000,,,,,0.0,1000000.0,100,0
sweep,bitmask,0,,,,,0.0,26342987.7,200,0
sweep,seqlock,1000,,,,,119.5,1000.0,100,0
sweep,seqlock,10000,,,,,678.0,10000.0,100,0
sweep,seqlock,100000,,,,,5918.5,100000.5,100,0
sweep,seqlock,1000000,,,,,53397.0,999999.9,100,0
sweep,seqlock,0,,,,,10156172.4,38280280.5,1100,0
