strategy,rate_hz,n,p50_ns,p95_ns,p99_ns,max_ns,stddev_ns,missed,cpu_pct
sleep,60,9500,16666666,16666666,18834450,834489200,13437927.6,381,3.85
sleep,144,9500,6944444,16039412,17419412,570105592,6602877.7,2873,7.93
sleep,240,9500,4166666,12056934,14615236,18799802,3058792.3,3328,9.54
timer,60,9500,16666666,16666666,16666666,16666666,0.0,0,3.89
timer,144,9500,6944444,6944444,6944444,6944444,0.0,0,8.39
timer,240,9500,4166666,4166666,4166666,4166666,0.0,0,13.80
timer_spin,60,9500,16666666,16666666,16666666,16666666,0.0,0,6.78
timer_spin,144,9500,6944444,6944444,6944444,6944444,0.0,0,15.40
timer_spin,240,9500,4166666,4166666,4166666,4166666,0.0,0,25.39
spin,60,9500,16666666,16666666,16666666,16666666,0.0,0,92.93
spin,144,9500,6944444,6944444,6944444,6944444,0.0,0,86.00
spin,240,9500,4166666,4166666,4166666,4166666,0.0,0,77.59
uncapped,0,9500,1420700,1804800,2052200,2469700,143960.4,0,39.76
